"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"initial_full","threshold","FE","group_relative_contribution",0.956218562825625,0.0298346046905578,0.89262760821598,1.01980951743527,16,0.119338418762231,0.9338744140625,0.9984206380205,0.956151529947938
"initial_full","threshold","FE","surplus",-0.125297338867,0.0274732548837271,-0.183855195503968,-0.0667394822300321,16,0.109893019534908,-0.1650873046875,-0.100541080729,-0.1251619466145
"initial_full","threshold","FE","gini",0.00481223765261262,0.00120750627508834,0.002238498951315,0.00738597635391025,16,0.00483002510035337,0.000949746479142,0.01163409986265,0.00478556599570469
"initial_full","threshold","FE","success",0.99710546875,0.00289453125,0.990935921432579,1.00327501606742,16,0.011578125,1,1,0.9971875
"initial_full","threshold","AI","group_relative_contribution",0.633029280598875,0.051731816903353,0.522765522969242,0.743293038228508,16,0.206927267613412,0.4498542317705,0.9495866536455,0.628387044270812
"initial_full","threshold","AI","surplus",0.01135418294275,0.0462874586319407,-0.087305199723417,0.110013565608917,16,0.185149834527763,-0.172712044271,0.260341341146,0.0122379557292067
"initial_full","threshold","AI","gini",0.108946240617917,0.0160510439532264,0.0747342502780526,0.143158230957781,16,0.0642041758129057,0.020527498280835,0.1757007096695,0.11069971411209
"initial_full","threshold","AI","success",0.77326015625,0.0653418776355645,0.633987240857654,0.912533071642346,16,0.261367510542258,0.50351875,0.99376875,0.76875
"initial_full","threshold","MI","group_relative_contribution",0.66643697102875,0.0384350901715167,0.584514515549122,0.748359426508378,16,0.153740360686067,0.499804947917,0.880927278646,0.664334309895813
"initial_full","threshold","MI","surplus",0.130115112304669,0.0366781176303323,0.051937555149509,0.208292669459828,16,0.146712470521329,-0.07308404947915,0.297292903646,0.132084960937525
"initial_full","threshold","MI","gini",0.082463952084225,0.0092872703628096,0.0626686038899237,0.102259300278526,16,0.0371490814512384,0.0380073932746,0.112607853582,0.0830332005347938
"initial_full","threshold","MI","success",0.9558625,0.0240015536877737,0.904704399299466,1.00702060070053,16,0.0960062147510948,0.9250625,0.999575,0.955703125
"longer","linear","FE","group_relative_contribution",0.646609301757875,0.016907693153641,0.610571406869083,0.682647196646667,16,0.067630772614564,0.6051993489585,0.69948359375,0.644324544270813
"longer","linear","FE","surplus",1.4225404638675,0.0371969249380869,1.34325709511199,1.50182383262301,16,0.148787699752348,1.33143856771,1.53886390625,1.41751399739563
"longer","linear","FE","gini",0.0402533141750187,0.0023772182448987,0.035186393427233,0.0453202349228045,16,0.0095088729795948,0.0298400272485,0.0472255405187,0.0404154600756938
"longer","linear","AI","group_relative_contribution",0.748156510416688,0.0206211162665923,0.704203641521324,0.792109379312051,16,0.082484465066369,0.642759635417,0.8550087890625,0.747242024739625
